Commodities,Countries,Country Subcode,Rate Provision,District,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),Dutiable Value ($US),CIF Value (Gen) ($US),CIF Value (Cons) ($US),Calculated Duty($US),Quantity 1 (Gen),Quantity 1 (Cons),Quantity 2 (Gen),Quantity 2 (Cons),Customs Unit Value (Gen),Customs Unit Value (Cons),Card Count
"282580 Antimony Oxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","2921389","2938154","0","2954186","2972760","0","","","","","","","20"
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder","Japan","All Country Subcodes","All Rate Provisions","All Districts","2021","18596742","18596742","0","18604877","18604877","0","","","","","","","31"
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2022","4823","4823","0","5233","5233","0","","","","","","","1"
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2022","405000","405000","0","406000","406000","0","","","","","","","1"
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2022","2508","2508","0","2509","2509","0","","","","","","","1"
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder","Japan","All Country Subcodes","All Rate Provisions","All Districts","2022","14493871","14493871","0","14510411","14510411","0","","","","","","","33"
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2023","201071","201071","0","201319","201319","0","","","","","","","1"
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder","Japan","All Country Subcodes","All Rate Provisions","All Districts","2023","12538046","12538046","0","12547214","12547214","0","","","","","","","29"
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder","Japan","All Country Subcodes","All Rate Provisions","All Districts","2024","8080911","8080911","0","8089517","8089517","0","","","","","","","26"
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder","Japan","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","3579436","3579436","0","3583786","3583786","0","","","","","","","14"
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2021","9815","9815","0","9890","9890","0","","","","","","","1"
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2021","2769","2769","0","3219","3219","0","","","","","","","1"
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","Japan","All Country Subcodes","All Rate Provisions","All Districts","2021","7207668","7207668","0","7219857","7219857","0","","","","","","","32"
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2022","4500","4500","0","4950","4950","0","","","","","","","1"
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","Japan","All Country Subcodes","All Rate Provisions","All Districts","2022","3223689","3223689","0","3231503","3231503","0","","","","","","","28"
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2023","6500","6500","0","6950","6950","0","","","","","","","1"
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2023","79778","79778","0","80678","80678","0","","","","","","","2"
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2023","4735","4735","0","4810","4810","0","","","","","","","1"
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2023","7800","7800","0","7863","7863","0","","","","","","","1"
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","Japan","All Country Subcodes","All Rate Provisions","All Districts","2023","6005130","6005130","0","6015116","6015116","0","","","","","","","29"
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2024","9548","9548","0","9798","9798","0","","","","","","","1"
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","Japan","All Country Subcodes","All Rate Provisions","All Districts","2024","4431181","4431181","0","4440117","4440117","0","","","","","","","21"
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","1116612","1116612","0","1117262","1117262","0","","","","","","","1"
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","Japan","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","3203891","3203891","0","3206839","3206839","0","","","","","","","7"
"850511 Permanent Magnets Made Of Metal","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2021","792057","792057","487553","807087","807087","10240","","","","","","","53"
"850511 Permanent Magnets Made Of Metal","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2021","169873","178933","178933","174046","183958","3756","","","","","","","21"
"850511 Permanent Magnets Made Of Metal","Cambodia","All Country Subcodes","All Rate Provisions","All Districts","2021","99111","99111","0","101578","101578","0","","","","","","","3"
"850511 Permanent Magnets Made Of Metal","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2021","59475","59475","59475","64261","64261","1249","","","","","","","10"
"850511 Permanent Magnets Made Of Metal","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2021","107540","107540","107540","117179","117179","2256","","","","","","","14"
"850511 Permanent Magnets Made Of Metal","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2021","313127","313127","310551","333123","333123","6523","","","","","","","11"
"850511 Permanent Magnets Made Of Metal","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2021","17448912","17448912","7728579","18132143","18132143","162309","","","","","","","313"
"850511 Permanent Magnets Made Of Metal","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2021","7572194","7572194","372275","7915673","7915673","7813","","","","","","","193"
"850511 Permanent Magnets Made Of Metal","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2021","121914","121914","121914","130177","130177","2561","","","","","","","11"
"850511 Permanent Magnets Made Of Metal","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2021","5871691","5871691","5871691","6226259","6226259","123301","","","","","","","440"
"850511 Permanent Magnets Made Of Metal","Japan","All Country Subcodes","All Rate Provisions","All Districts","2021","32624891","26832950","8746789","34587377","28234449","183695","","","","","","","1678"
"850511 Permanent Magnets Made Of Metal","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2022","649108","649108","649108","688775","688775","13633","","","","","","","32"
"850511 Permanent Magnets Made Of Metal","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2022","402418","402418","402418","506191","506191","8446","","","","","","","30"
"850511 Permanent Magnets Made Of Metal","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2022","918603","918603","918603","994765","994765","19290","","","","","","","53"
"850511 Permanent Magnets Made Of Metal","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2022","362500","362500","355601","374420","374420","7470","","","","","","","47"
"850511 Permanent Magnets Made Of Metal","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2022","5459356","5459356","5459356","5795186","5795186","114646","","","","","","","121"
"850511 Permanent Magnets Made Of Metal","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2022","6684226","6684226","1020043","7304597","7304597","21420","","","","","","","193"
"850511 Permanent Magnets Made Of Metal","Mongolia","All Country Subcodes","All Rate Provisions","All Districts","2022","3465","3465","3465","3637","3637","73","","","","","","","1"
"850511 Permanent Magnets Made Of Metal","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2022","9420323","9420323","794029","10207073","10207073","16678","","","","","","","230"
"850511 Permanent Magnets Made Of Metal","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2022","192556","192556","192556","204330","204330","4043","","","","","","","10"
"850511 Permanent Magnets Made Of Metal","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2022","9398504","9398504","9398504","9905397","9905397","197372","","","","","","","550"
"850511 Permanent Magnets Made Of Metal","Japan","All Country Subcodes","All Rate Provisions","All Districts","2022","35192544","27550492","5878921","36930852","28523847","123444","","","","","","","1298"
"850511 Permanent Magnets Made Of Metal","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2023","258250","258250","200200","260298","260298","4206","","","","","","","17"
"850511 Permanent Magnets Made Of Metal","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2023","566890","566890","566890","616353","616353","11909","","","","","","","30"
"850511 Permanent Magnets Made Of Metal","Cambodia","All Country Subcodes","All Rate Provisions","All Districts","2023","46987","46987","0","58090","58090","0","","","","","","","3"
"850511 Permanent Magnets Made Of Metal","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2023","693147","693147","693147","724434","724434","14554","","","","","","","56"
"850511 Permanent Magnets Made Of Metal","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2023","657579","657579","632565","670567","670567","13287","","","","","","","94"
"850511 Permanent Magnets Made Of Metal","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2023","5476178","5481162","5476106","5813089","5818074","114996","","","","","","","64"
"850511 Permanent Magnets Made Of Metal","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2023","6905136","7200462","4172900","7096619","7395783","87632","","","","","","","173"
"850511 Permanent Magnets Made Of Metal","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2023","4247866","4247866","273051","4842862","4842862","5733","","","","","","","131"
"850511 Permanent Magnets Made Of Metal","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2023","46662","46662","46662","47426","47426","980","","","","","","","4"
"850511 Permanent Magnets Made Of Metal","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2023","6924633","6922463","6922463","7241842","7238142","145383","","","","","","","448"
"850511 Permanent Magnets Made Of Metal","Japan","All Country Subcodes","All Rate Provisions","All Districts","2023","26631388","18309527","4267986","27955029","18807820","89618","","","","","","","909"
"850511 Permanent Magnets Made Of Metal","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2024","274666","274666","274666","281755","281755","5770","","","","","","","22"
"850511 Permanent Magnets Made Of Metal","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2024","1069338","976296","976296","1158202","1063987","20502","","","","","","","65"
"850511 Permanent Magnets Made Of Metal","Cambodia","All Country Subcodes","All Rate Provisions","All Districts","2024","200231","185666","44377","236658","222090","932","","","","","","","17"
"850511 Permanent Magnets Made Of Metal","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2024","1670265","1670265","1670265","1753853","1753853","35081","","","","","","","139"
"850511 Permanent Magnets Made Of Metal","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2024","1753736","1753736","1718444","1764914","1764914","36096","","","","","","","144"
"850511 Permanent Magnets Made Of Metal","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2024","6185995","6185995","6185995","6566269","6566269","129911","","","","","","","56"
"850511 Permanent Magnets Made Of Metal","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2024","8894106","9198547","6577921","9128331","9436733","138138","","","","","","","215"
"850511 Permanent Magnets Made Of Metal","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2024","9811059","9765197","448437","10257638","10211179","9417","","","","","","","160"
"850511 Permanent Magnets Made Of Metal","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2024","72198","72198","72198","80759","80759","1518","","","","","","","12"
"850511 Permanent Magnets Made Of Metal","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2024","7562302","7553622","7553622","7966829","7957733","158627","","","","","","","500"
"850511 Permanent Magnets Made Of Metal","Japan","All Country Subcodes","All Rate Provisions","All Districts","2024","19781902","14672007","5854351","20653420","15028940","122936","","","","","","","880"
"850511 Permanent Magnets Made Of Metal","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","224345","224345","215885","231169","231169","12754","","","","","","","24"
"850511 Permanent Magnets Made Of Metal","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","545050","372735","372735","569362","397080","21604","","","","","","","42"
"850511 Permanent Magnets Made Of Metal","Cambodia","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","141337","141337","23482","174117","174117","1133","","","","","","","10"
"850511 Permanent Magnets Made Of Metal","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","569578","569578","569578","590714","590714","26007","","","","","","","61"
"850511 Permanent Magnets Made Of Metal","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","253272","253272","253272","254239","254239","12292","","","","","","","30"
"850511 Permanent Magnets Made Of Metal","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","3548515","3548515","3548515","3766800","3766800","133515","","","","","","","26"
"850511 Permanent Magnets Made Of Metal","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","2713846","2713846","2279559","2763177","2763177","94957","","","","","","","57"
"850511 Permanent Magnets Made Of Metal","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","2025619","2071679","1018027","2137264","2183923","91569","","","","","","","49"
"850511 Permanent Magnets Made Of Metal","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","4320","4320","4320","4909","4909","1387","","","","","","","1"
"850511 Permanent Magnets Made Of Metal","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","4090307","4090307","4090307","4209939","4209939","245860","","","","","","","254"
"850511 Permanent Magnets Made Of Metal","Japan","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","9537798","7893805","5538740","9925392","8132113","360525","","","","","","","464"
"850650 Primary Cells And Batteries, Lithium","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2021","996749","993961","993961","1044328","1041504","26846","","","","","","","127"
"850650 Primary Cells And Batteries, Lithium","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2021","51139","51139","51139","54045","54045","1381","","","","","","","7"
"850650 Primary Cells And Batteries, Lithium","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2021","709423","816660","816660","738653","853862","22052","","","","","","","192"
"850650 Primary Cells And Batteries, Lithium","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2021","81805108","86261479","11518972","82402536","86916825","311010","","","","","","","592"
"850650 Primary Cells And Batteries, Lithium","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2021","19463294","19190081","12130070","20205528","19927767","327493","","","","","","","980"
"850650 Primary Cells And Batteries, Lithium","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2021","142090","142090","142090","144038","144038","3838","","","","","","","14"
"850650 Primary Cells And Batteries, Lithium","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2021","18840168","18836923","4160381","19627740","19624453","112338","","","","","","","378"
"850650 Primary Cells And Batteries, Lithium","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2021","1192173","1192173","1192173","1212136","1212136","32167","","","","","","","58"
"850650 Primary Cells And Batteries, Lithium","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2021","5305689","5305130","5305130","5424964","5424415","143236","","","","","","","143"
"850650 Primary Cells And Batteries, Lithium","Japan","All Country Subcodes","All Rate Provisions","All Districts","2021","42746631","42700577","42700577","44153961","44108825","1152918","","","","","","","1390"
"850650 Primary Cells And Batteries, Lithium","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2022","1320547","1320547","1299469","1363277","1363277","35088","","","","","","","80"
"850650 Primary Cells And Batteries, Lithium","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2022","90138","90138","90138","91005","91005","2434","","","","","","","4"
"850650 Primary Cells And Batteries, Lithium","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2022","1167895","1245814","1245814","1214327","1322218","33641","","","","","","","185"
"850650 Primary Cells And Batteries, Lithium","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2022","83096611","83618805","2773913","83477959","84006414","74892","","","","","","","450"
"850650 Primary Cells And Batteries, Lithium","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2022","28399903","36446561","31622472","29130413","37278968","853835","","","","","","","1310"
"850650 Primary Cells And Batteries, Lithium","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2022","183444","183444","183444","187003","187003","4953","","","","","","","34"
"850650 Primary Cells And Batteries, Lithium","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2022","25140061","25140061","2617700","25953031","25953031","70677","","","","","","","339"
"850650 Primary Cells And Batteries, Lithium","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2022","558150","558150","558150","582231","582231","15046","","","","","","","48"
"850650 Primary Cells And Batteries, Lithium","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2022","8105260","8105260","8105260","8264776","8264776","218843","","","","","","","174"
"850650 Primary Cells And Batteries, Lithium","Japan","All Country Subcodes","All Rate Provisions","All Districts","2022","50696859","50963717","49705113","52043835","52314333","1342051","","","","","","","1228"
"850650 Primary Cells And Batteries, Lithium","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2023","2230121","2224619","2222219","2326088","2320496","60006","","","","","","","161"
"850650 Primary Cells And Batteries, Lithium","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2023","100956","95099","95099","103075","97142","2567","","","","","","","6"
"850650 Primary Cells And Batteries, Lithium","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2023","1577812","1529937","1529937","1608877","1555535","41308","","","","","","","260"
"850650 Primary Cells And Batteries, Lithium","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2023","115767346","115614114","1636420","116098356","115944291","44185","","","","","","","406"
"850650 Primary Cells And Batteries, Lithium","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2023","25220121","32281412","26658074","25781864","32934137","719766","","","","","","","1060"
"850650 Primary Cells And Batteries, Lithium","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2023","163418","167027","167027","169300","172935","4510","","","","","","","25"
"850650 Primary Cells And Batteries, Lithium","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2023","29642160","29642160","3911021","30058707","30058707","105590","","","","","","","386"
"850650 Primary Cells And Batteries, Lithium","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2023","630249","645649","645649","650016","667477","17436","","","","","","","46"
"850650 Primary Cells And Batteries, Lithium","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2023","5982492","5982492","5982492","6093727","6093727","161530","","","","","","","151"
"850650 Primary Cells And Batteries, Lithium","Japan","All Country Subcodes","All Rate Provisions","All Districts","2023","37312330","38111757","37353037","37986624","38796627","1008509","","","","","","","910"
"850650 Primary Cells And Batteries, Lithium","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2024","2070619","2070619","2070619","2149793","2149793","55902","","","","","","","151"
"850650 Primary Cells And Batteries, Lithium","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2024","1253850","1250561","1250561","1309038","1305706","33765","","","","","","","43"
"850650 Primary Cells And Batteries, Lithium","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2024","1368460","1248961","1248961","1387357","1265533","33711","","","","","","","176"
"850650 Primary Cells And Batteries, Lithium","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2024","73322500","75821037","4617731","73702097","76231956","124677","","","","","","","387"
"850650 Primary Cells And Batteries, Lithium","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2024","25288668","33566571","31269445","26218739","34671585","844293","","","","","","","1341"
"850650 Primary Cells And Batteries, Lithium","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2024","1024288","1026901","1001499","1044148","1046771","27041","","","","","","","20"
"850650 Primary Cells And Batteries, Lithium","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2024","31655176","31655176","3342578","32054609","32054609","90249","","","","","","","340"
"850650 Primary Cells And Batteries, Lithium","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2024","222327","222327","222327","229600","229600","6004","","","","","","","29"
"850650 Primary Cells And Batteries, Lithium","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2024","2928923","2928923","2928923","2984210","2984210","79081","","","","","","","97"
"850650 Primary Cells And Batteries, Lithium","Japan","All Country Subcodes","All Rate Provisions","All Districts","2024","39048149","40127694","39313926","39917845","41013395","1061457","","","","","","","963"
"850650 Primary Cells And Batteries, Lithium","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","1062973","1062973","1062973","1101155","1101155","75256","","","","","","","66"
"850650 Primary Cells And Batteries, Lithium","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","662071","662071","662071","669399","669399","68120","","","","","","","25"
"850650 Primary Cells And Batteries, Lithium","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","388703","439829","439829","392916","448135","32502","","","","","","","65"
"850650 Primary Cells And Batteries, Lithium","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","28665432","28667842","7063680","28934216","28936657","669328","","","","","","","170"
"850650 Primary Cells And Batteries, Lithium","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","14658607","17932297","17932166","15474021","18640041","1114278","","","","","","","895"
"850650 Primary Cells And Batteries, Lithium","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","103163","105641","72924","104940","107434","6856","","","","","","","11"
"850650 Primary Cells And Batteries, Lithium","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","17722081","17722081","6676211","17895743","17895743","609225","","","","","","","183"
"850650 Primary Cells And Batteries, Lithium","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","73238","73238","73238","76470","76470","29445","","","","","","","11"
"850650 Primary Cells And Batteries, Lithium","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","2306612","2306612","2306612","2367616","2367616","158137","","","","","","","57"
"850650 Primary Cells And Batteries, Lithium","Japan","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","22785478","23067421","23067421","24052843","24330128","1373730","","","","","","","490"
"282520 Lithium Oxide And Hydroxide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2021","15107","15107","15107","16573","16573","559","","","","","","","3"
"282520 Lithium Oxide And Hydroxide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2022","9500","9500","9500","10150","10150","352","","","","","","","1"
"282520 Lithium Oxide And Hydroxide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2023","102774","102774","102774","107774","107774","3804","","","","","","","4"
"282520 Lithium Oxide And Hydroxide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2024","34420","34420","34420","38099","38099","1274","","","","","","","5"
"282520 Lithium Oxide And Hydroxide","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","2825","2825","2825","2826","2826","105","","","","","","","1"
"282540 Nickel Oxides And Hydroxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2021","5744","5744","0","6194","6194","0","","","","","","","1"
"282540 Nickel Oxides And Hydroxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2024","2350","2350","0","2350","2350","0","","","","","","","1"
"282540 Nickel Oxides And Hydroxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","11056","11056","8272","12131","12131","827","","","","","","","3"
"282550 Copper Oxides And Hydroxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2021","47880","47880","47880","48531","48531","2333","","","","","","","2"
"282550 Copper Oxides And Hydroxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2022","12006","12006","12006","13756","13756","478","","","","","","","3"
"282550 Copper Oxides And Hydroxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2023","35895","35895","35895","37115","37115","1762","","","","","","","2"
"282550 Copper Oxides And Hydroxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2024","95618","95618","95618","99508","99508","4646","","","","","","","5"
"282550 Copper Oxides And Hydroxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","107825","107825","107825","110867","110867","10233","","","","","","","4"
"282580 Antimony Oxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2021","133822","133822","0","136922","136922","0","","","","","","","3"
"282580 Antimony Oxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2022","432988","432988","0","450010","450010","0","","","","","","","7"
"282580 Antimony Oxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2023","436073","436073","0","444769","444769","0","","","","","","","5"
"282580 Antimony Oxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2024","1225406","1225406","0","1242640","1242640","0","","","","","","","6"
"282580 Antimony Oxides","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","18635505","18635505","0","18746132","18746132","0","","","","","","","45"
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","12688","12688","0","12689","12689","0","","","","","","","1"
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2021","112200","112200","0","116400","116400","0","","","","","","","2"
"711049 Iridium, Osmium And Ruthenium, Semimanufactured","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2022","222785","222785","0","223235","223235","0","","","","","","","1"
"850511 Permanent Magnets Made Of Metal","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2021","1308901","1304671","1302076","1403028","1398696","27346","","","","","","","128"
"850511 Permanent Magnets Made Of Metal","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2022","1662126","1654045","1620035","1845998","1838458","34024","","","","","","","158"
"850511 Permanent Magnets Made Of Metal","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2023","1390531","1416254","1395785","1538717","1565726","29309","","","","","","","148"
"850511 Permanent Magnets Made Of Metal","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2024","1828334","1828334","1818234","1944269","1944269","38189","","","","","","","138"
"850511 Permanent Magnets Made Of Metal","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","1626564","1622809","1622809","1687273","1683469","95624","","","","","","","90"
"850650 Primary Cells And Batteries, Lithium","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2021","69976","43336","43336","71107","44367","1170","","","","","","","9"
"850650 Primary Cells And Batteries, Lithium","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2022","147425","147425","147425","147980","147980","3979","","","","","","","8"
"850650 Primary Cells And Batteries, Lithium","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2023","681732","555094","555094","692458","565720","14988","","","","","","","19"
"850650 Primary Cells And Batteries, Lithium","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2024","322256","344738","344738","325727","349524","9307","","","","","","","12"
"850650 Primary Cells And Batteries, Lithium","Asia - South","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","12345","12345","8849","12895","12895","631","","","","","","","4"
"282580 Antimony Oxides","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2023","107289445","107346795","0","109156308","109224547","0","","","","","","","363"
"850511 Permanent Magnets Made Of Metal","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2022","591893240","573418262","524487954","614549892","595291989","11011760","","","","","","","20002"
"850650 Primary Cells And Batteries, Lithium","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2022","305282026","313947536","161948417","311351470","320152862","17514064","","","","","","","7285"
"711041 Iridium, Osmium And Ruthenium, Unwrought Or Powder","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2025 through June","3657736","3657736","78300","3666784","3666784","35235","","","","","","","15"
"282540 Nickel Oxides And Hydroxides","APEC - Asia Pacific Economic Co-operation","All Country Subcodes","All Rate Provisions","All Districts","2024","34190154","34190154","29405789","34574211","34574211","7350932","","","","","","","106"
