Commodities,Countries,Country Subcode,Rate Provision,District,Time,Customs Value (Gen) ($US) (Default Member),Customs Value (Cons) ($US),Quantity 1 (Gen),Quantity 1 (Cons),Quantity 2 (Gen),Quantity 2 (Cons),Card Count
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2018","266572","266572","","","","","18"
"3910 Silicones, In Primary Forms","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2015","591","591","","","","","1"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2013","95864","95864","","","","","5"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2013","1019013","1019013","","","","","22"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2013","194002817","194002817","","","","","659"
"3910 Silicones, In Primary Forms","Japan","All Country Subcodes","All Rate Provisions","All Districts","2012","132171571","130172593","","","","","2852"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Japan","All Country Subcodes","All Rate Provisions","All Districts","2013","6790145","6790145","","","","","78"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2011","181641","181641","","","","","6"
"2504 Natural Graphite","Japan","All Country Subcodes","All Rate Provisions","All Districts","2015","4067722","4067722","","","","","146"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2012","247836","247836","","","","","43"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2011","534307","534307","","","","","2"
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2019","1475276","1475276","","","","","38"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2020","5174","5174","","","","","1"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2016","47420","47420","","","","","1"
"3910 Silicones, In Primary Forms","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2013","1218","1218","","","","","3"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Japan","All Country Subcodes","All Rate Provisions","All Districts","2013","90544419","90544419","","","","","209"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2015","237714","237714","","","","","11"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2017","4586069","4760953","","","","","436"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2012","200190","200190","","","","","5"
"3910 Silicones, In Primary Forms","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2019","781682","781682","","","","","15"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2012","9491","9491","","","","","3"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2012","595762","595762","","","","","1"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2016","41371","41371","","","","","1"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2016","300101","300101","","","","","4"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2019","3600","3600","","","","","1"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Japan","All Country Subcodes","All Rate Provisions","All Districts","2014","24620380","24620380","","","","","256"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2015","9242589","9242589","","","","","391"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2013","24723","24723","","","","","2"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2016","140169","140169","","","","","11"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Japan","All Country Subcodes","All Rate Provisions","All Districts","2013","241737640","241737640","","","","","1984"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2015","27541","27541","","","","","1"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Japan","All Country Subcodes","All Rate Provisions","All Districts","2017","6047916","6047916","","","","","114"
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2020","73225","73225","","","","","1"
"3910 Silicones, In Primary Forms","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2014","15585106","15080615","","","","","365"
"3910 Silicones, In Primary Forms","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2020","29451","29451","","","","","6"
"2820 Manganese Oxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2014","13744172","13744172","","","","","108"
"3910 Silicones, In Primary Forms","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2017","131284","131284","","","","","18"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2011","411227","411227","","","","","5"
"2820 Manganese Oxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2019","7460248","7460248","","","","","83"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2013","447374","447374","","","","","8"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2013","31400","31400","","","","","1"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2012","8621721","8625163","","","","","249"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","Japan","All Country Subcodes","All Rate Provisions","All Districts","2012","14800","14800","","","","","1"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2015","203175929","203155043","","","","","1181"
"2605 Cobalt Ores And Concentrates","Japan","All Country Subcodes","All Rate Provisions","All Districts","2012","692673","692673","","","","","6"
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2011","8219","8219","","","","","1"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2013","1367000","1367000","","","","","17"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2011","189790","189790","","","","","6"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2020","135903416","135903416","","","","","294"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2016","69268","69268","","","","","5"
"2504 Natural Graphite","Japan","All Country Subcodes","All Rate Provisions","All Districts","2018","1939858","1923938","","","","","129"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2020","32193","32193","","","","","2"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Japan","All Country Subcodes","All Rate Provisions","All Districts","2015","236894427","236891073","","","","","1400"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2019","494894","494894","","","","","3"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2020","222282","222282","","","","","2"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2018","3957304","3957304","","","","","41"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2011","1733862","1733862","","","","","3"
"3910 Silicones, In Primary Forms","Japan","All Country Subcodes","All Rate Provisions","All Districts","2017","133824603","131140770","","","","","3461"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2017","49633","49633","","","","","3"
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2017","3646","3646","","","","","1"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2012","188785","188785","","","","","3"
"3910 Silicones, In Primary Forms","Japan","All Country Subcodes","All Rate Provisions","All Districts","2016","108057010","105868018","","","","","3182"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2012","10308503","10308503","","","","","40"
"2801 Fluorine, Chlorine, Bromine & Iodine","Japan","All Country Subcodes","All Rate Provisions","All Districts","2020","10734453","10734453","","","","","29"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2014","35757693","35757693","","","","","247"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Japan","All Country Subcodes","All Rate Provisions","All Districts","2013","36533517","24014261","","","","","394"
"2504 Natural Graphite","Japan","All Country Subcodes","All Rate Provisions","All Districts","2020","476197","470246","","","","","44"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2014","84897","84897","","","","","1"
"2504 Natural Graphite","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2018","2700","2700","","","","","1"
"3910 Silicones, In Primary Forms","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2012","4240","4240","","","","","4"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2018","6276590","6276590","","","","","584"
"2504 Natural Graphite","Mongolia","All Country Subcodes","All Rate Provisions","All Districts","2014","71820","71820","","","","","1"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Macau","All Country Subcodes","All Rate Provisions","All Districts","2016","941842","941842","","","","","3"
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2011","318906","318906","","","","","2"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2013","126200","126200","","","","","1"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2020","13696852","13696852","","","","","169"
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2018","1506721","1506721","","","","","30"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2016","840693","731950","","","","","34"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2012","321240","321240","","","","","3"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2018","630125","630125","","","","","10"
"2605 Cobalt Ores And Concentrates","Japan","All Country Subcodes","All Rate Provisions","All Districts","2015","176763","176763","","","","","2"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Japan","All Country Subcodes","All Rate Provisions","All Districts","2020","3617303","3617303","","","","","90"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2015","1775322","1775322","","","","","29"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2019","8076762","1604016","","","","","122"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Japan","All Country Subcodes","All Rate Provisions","All Districts","2012","39805200","39805200","","","","","321"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2019","26392725","26392725","","","","","16"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2017","19125","19125","","","","","1"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2020","248546","248546","","","","","30"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2011","173010","173010","","","","","40"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2019","258556","258556","","","","","31"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2014","65382","65382","","","","","1"
"3910 Silicones, In Primary Forms","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2019","29571850","29571850","","","","","467"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2014","15204838","15185486","","","","","72"
"2820 Manganese Oxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2011","20148354","20148354","","","","","142"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2018","3207608","3775876","","","","","336"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2014","279000","279000","","","","","3"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2019","35131","35131","","","","","1"
"2504 Natural Graphite","Japan","All Country Subcodes","All Rate Provisions","All Districts","2017","1494088","1494088","","","","","109"
"3910 Silicones, In Primary Forms","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2020","3047498","3047498","","","","","70"
"2614 Titanium Ores And Concentrates","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2017","7001","7001","","","","","1"
"2504 Natural Graphite","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2013","628290","628290","","","","","2"
"2820 Manganese Oxides","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2014","3870","3870","","","","","1"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2015","135014835","135108745","","","","","513"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Japan","All Country Subcodes","All Rate Provisions","All Districts","2013","24466247","24466247","","","","","232"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2018","18902","18902","","","","","1"
"2603 Copper Ores And Concentrates","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2019","2556","2556","","","","","1"
"3910 Silicones, In Primary Forms","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2013","1613744","1613744","","","","","65"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2019","54621770","54677826","","","","","210"
"2614 Titanium Ores And Concentrates","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2013","4199629","4199629","","","","","24"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2018","6530","6530","","","","","1"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2011","220573","220573","","","","","16"
"2504 Natural Graphite","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2016","6600","6600","","","","","1"
"2606 Aluminum Ores And Concentrates","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2020","16800","16800","","","","","3"
"2604 Nickel Ores And Concentrates","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2015","2820","2820","","","","","1"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2020","2239375","2239375","","","","","14"
"3910 Silicones, In Primary Forms","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2016","672","672","","","","","2"
"3910 Silicones, In Primary Forms","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2015","737096","737096","","","","","51"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2016","35600","35600","","","","","3"
"2504 Natural Graphite","Japan","All Country Subcodes","All Rate Provisions","All Districts","2013","5095325","5095325","","","","","179"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2011","48350","48350","","","","","4"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2011","22719","22719","","","","","2"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2018","16848","16848","","","","","1"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Laos","All Country Subcodes","All Rate Provisions","All Districts","2013","107300","107300","","","","","1"
"2604 Nickel Ores And Concentrates","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2017","6944","6944","","","","","1"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2016","6822","6822","","","","","1"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2018","4764535","4764535","","","","","8"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2013","37375836","37375836","","","","","37"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2016","99267","99267","","","","","2"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2018","241810300","241810300","","","","","1202"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Japan","All Country Subcodes","All Rate Provisions","All Districts","2014","510313","510313","","","","","15"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2019","89125","89125","","","","","6"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Burma","All Country Subcodes","All Rate Provisions","All Districts","2018","1046022","1046022","","","","","6"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2011","1627978","1627978","","","","","46"
"2504 Natural Graphite","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2012","49200","49200","","","","","1"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2014","117397","117397","","","","","3"
"2801 Fluorine, Chlorine, Bromine & Iodine","Japan","All Country Subcodes","All Rate Provisions","All Districts","2011","16899242","16899242","","","","","62"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2016","876016","876016","","","","","5"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2012","15818","15818","","","","","1"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2013","22606","22606","","","","","4"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2011","14869115","14849669","","","","","245"
"2604 Nickel Ores And Concentrates","Japan","All Country Subcodes","All Rate Provisions","All Districts","2016","2313","2313","","","","","1"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2017","12795","12795","","","","","1"
"2504 Natural Graphite","Japan","All Country Subcodes","All Rate Provisions","All Districts","2014","7284190","7284190","","","","","146"
"2820 Manganese Oxides","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2011","310080","310080","","","","","16"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2018","49070","49070","","","","","10"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2020","36790","36790","","","","","6"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Japan","All Country Subcodes","All Rate Provisions","All Districts","2020","52682405","52626543","","","","","328"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2017","51672","51672","","","","","7"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2018","7377","7377","","","","","1"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2013","4436513","4436513","","","","","9"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2013","104843","104843","","","","","5"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Japan","All Country Subcodes","All Rate Provisions","All Districts","2016","29999515","29968173","","","","","802"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2017","1844797","1844797","","","","","23"
"2820 Manganese Oxides","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2012","25160","25160","","","","","2"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2017","467786","467786","","","","","10"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2015","66397","66397","","","","","4"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Japan","All Country Subcodes","All Rate Provisions","All Districts","2019","27684335","27684335","","","","","990"
"3910 Silicones, In Primary Forms","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2018","3293","3293","","","","","5"
"3801 Artificial Graphite; Collodial Graphite & Prep Etc","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2014","39585","39585","","","","","6"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2013","117204","117204","","","","","2"
"2504 Natural Graphite","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2012","12896","12896","","","","","1"
"2602 Manganese Ores A Concntrts Inc Ferr Mangn Iron Ore","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2013","72800","72800","","","","","1"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2018","127893697","127841212","","","","","219"
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2012","159870","159870","","","","","1"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Burma","All Country Subcodes","All Rate Provisions","All Districts","2019","3379661","3379661","","","","","18"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Japan","All Country Subcodes","All Rate Provisions","All Districts","2018","6965895","7058395","","","","","106"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2013","3875","3875","","","","","1"
"2820 Manganese Oxides","Japan","All Country Subcodes","All Rate Provisions","All Districts","2012","20707402","20707402","","","","","130"
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2017","46724","46724","","","","","9"
"3910 Silicones, In Primary Forms","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2018","15396747","15568805","","","","","413"
"2801 Fluorine, Chlorine, Bromine & Iodine","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2015","487194","482394","","","","","21"
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2014","3620","3620","","","","","1"
"2614 Titanium Ores And Concentrates","Japan","All Country Subcodes","All Rate Provisions","All Districts","2012","6250","6250","","","","","1"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2016","20455","20455","","","","","4"
"2820 Manganese Oxides","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2016","152760","152760","","","","","8"
"3910 Silicones, In Primary Forms","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2015","122015","122015","","","","","3"
"3910 Silicones, In Primary Forms","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2013","16576","16576","","","","","9"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Philippines","All Country Subcodes","All Rate Provisions","All Districts","2018","77030","77030","","","","","4"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2013","5607768","5607768","","","","","23"
"2846 Rare-earth Metal Compounds Of Yttrium Or Scandium","Malaysia","All Country Subcodes","All Rate Provisions","All Districts","2019","4528969","4528969","","","","","40"
"2504 Natural Graphite","Japan","All Country Subcodes","All Rate Provisions","All Districts","2011","3763618","3763618","","","","","138"
"2603 Copper Ores And Concentrates","Japan","All Country Subcodes","All Rate Provisions","All Districts","2016","4650","4650","","","","","1"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Singapore","All Country Subcodes","All Rate Provisions","All Districts","2012","4582650","4582650","","","","","122"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2014","119124569","119112999","","","","","416"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Indonesia","All Country Subcodes","All Rate Provisions","All Districts","2011","19000","19000","","","","","1"
"7110 Platinum, Unwrought, Semimfr Forms Or In Powder Fm","Taiwan","All Country Subcodes","All Rate Provisions","All Districts","2015","532371","532371","","","","","4"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2015","1582754","1582754","","","","","10"
"7226 Fl-rl Alloy Steel Nesoi Un 600mm Wide","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2013","1754337","1754337","","","","","9"
"7225 Fl-rl Alloy Steel Nesoi Nun 600mm Wide","Korea, South","All Country Subcodes","All Rate Provisions","All Districts","2016","110074935","110694685","","","","","391"
"8108 Titanium & Articles Thereof, Includ Waste & Scrap","Vietnam","All Country Subcodes","All Rate Provisions","All Districts","2015","2133","2133","","","","","1"
"8112 Beryllium,chromium,hafnium,rhenium Etc & Articles","Thailand","All Country Subcodes","All Rate Provisions","All Districts","2011","354417","354417","","","","","10"
"8110 Antimony And Artcls Throf Incl Waste And Scrap","Hong Kong","All Country Subcodes","All Rate Provisions","All Districts","2020","537153","675297","","","","","3"
